ID,score_tag,agreement,subjectivity,confidence,irony,Happy,Fear,Sad,Bored,Angry,Excited,Class
1286,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0753567987,0.2134904246,0.1604395892,0.1804492223,0.2395159607,0.1307480044,0
1287,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1801195896,0.3050870943,0.1664975464,0.0463960057,0.0848318489,0.2170679152,0
1288,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0660661261,0.1560846906,0.203656918,0.1046806263,0.4093577532,0.0601538858,1
1289,P,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.1587534108,0.2420313839,0.1506639458,0.0947443776,0.1685958213,0.1852110606,1
1290,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0912049073,0.1873593841,0.2851144062,0.1036838606,0.2282931088,0.1043443329,1
1291,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0546122743,0.1471861787,0.2684139705,0.123934742,0.3583331194,0.047519715,1
1292,P,DISAGREEMENT,OBJECTIVE,86,NONIRONIC,0.1741034655,0.0872308761,0.1411414503,0.0303947045,0.3703462333,0.1967832702,1
1293,N+,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0586635074,0.1910152754,0.2289629847,0.0569151652,0.3658386253,0.098604442,1
1294,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.0969378494,0.1702934542,0.2319664355,0.0865415431,0.3324614224,0.0817992955,1
1295,N+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0434051362,0.4315669368,0.1462771679,0.0299097697,0.2454711238,0.1033698656,0
1296,N,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.0819788497,0.3304945322,0.1466640756,0.1216992536,0.1437428154,0.1754204736,0
1297,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1388462177,0.1528862701,0.3552413184,0.1229278819,0.1658678072,0.0642305047,0
1298,P,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.1622721943,0.182111563,0.1781396085,0.0490924073,0.2063939547,0.2219902723,0
1299,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1245559209,0.2730650614,0.1346542317,0.084855153,0.1379326538,0.2449369792,0
1300,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.1000180527,0.2662879013,0.211693283,0.0777576687,0.150741951,0.1935011433,1
1301,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0611544305,0.190381197,0.1863710052,0.1395027806,0.3091850061,0.1134055806,1
1302,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0281045087,0.1916391132,0.2301933258,0.0079099163,0.5085611625,0.0335919734,1
1303,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.0958476816,0.1122596364,0.0808180499,0.0412257647,0.5621520715,0.1076967958,0
1304,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0603141643,0.2165066172,0.2331610732,0.1585550663,0.2049892978,0.1264737812,1
1305,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1280440731,0.2554427198,0.1427800506,0.0920092128,0.1310826716,0.2506412721,0
1306,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0929089078,0.1342603486,0.144308651,0.2455253056,0.2914149077,0.0915818793,0
1307,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.3619208368,0.1726835515,0.070356054,0.0410012675,0.095667894,0.2583703963,0
1308,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0642099001,0.2989586854,0.320666798,0.0871213911,0.1243856516,0.1046575738,0
1309,N+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.0302735921,0.1821668602,0.2300216177,0.2064453108,0.3084497877,0.0426428316,1
1310,NEU,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.0123505502,0.3010714284,0.1115039646,0.0495621585,0.5025453617,0.0229665366,1
1311,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.100338873,0.1495720654,0.3594754651,0.0610733673,0.2650318114,0.0645084178,0
1312,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.0846781085,0.1423525995,0.1597073869,0.0984467783,0.3896240409,0.1251910859,0
1313,P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.1872175406,0.1583206668,0.1368790701,0.1317826903,0.1942232531,0.191576779,0
1314,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.0878826407,0.1194311743,0.1116960623,0.0687632916,0.4640731957,0.1481536354,1
1315,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.03380097,0.1111477794,0.1718658394,0.2440634674,0.3759404426,0.0631815012,1
1316,N,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.186338196,0.1261385931,0.2328489765,0.0618136694,0.2048739292,0.1879866359,0
