ID,score_tag,agreement,subjectivity,confidence,irony,Happy,Fear,Sad,Bored,Angry,Excited,Class
99,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0724641239,0.1898145518,0.1652522821,0.1603050384,0.2685582977,0.1436057061,0
100,P+,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.0802582268,0.1447129908,0.2474967157,0.119376237,0.3104000428,0.0977557869,0
101,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.1383559679,0.1797139596,0.1536179891,0.093540388,0.2238450929,0.2109266025,0
102,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0569877906,0.1981305555,0.1644314528,0.1072859817,0.3732983171,0.0998659024,0
103,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1109056304,0.2200539003,0.2037036422,0.0797805571,0.2206530848,0.1649031852,0
104,N+,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.0461267556,0.1241801669,0.1473149087,0.2968268597,0.2431147527,0.1424365565,0
105,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0532544846,0.1118895629,0.1074371074,0.0219900978,0.5989749441,0.1064538032,0
106,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.1104950752,0.2086089743,0.1458305424,0.2863615113,0.1360864978,0.1126173991,0
107,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1953059025,0.1807197602,0.1038495559,0.0438612214,0.2149271924,0.2613363677,0
108,P,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.0741010651,0.1592758872,0.1529333594,0.1071962637,0.384590247,0.1219031777,0
109,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.1495309767,0.2124072745,0.1665281361,0.1133103257,0.1744824306,0.1837408565,0
110,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.181726298,0.2567287974,0.1875055076,0.0533308783,0.1328035337,0.1879049851,0
111,N,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.1864544924,0.1691747305,0.2281519388,0.0726918479,0.1817315884,0.161795402,0
112,NONE,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.2295956571,0.2166227901,0.1767446759,0.0317495752,0.1678025115,0.1774847902,0
113,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1223897368,0.1992968872,0.1471687457,0.100369261,0.1697891631,0.2609862062,0
114,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.1049255301,0.1174757977,0.2384324162,0.1119002366,0.3650149459,0.0622510734,0
115,NEU,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.075816499,0.1010815006,0.1153340007,0.0628600609,0.5369905233,0.1079174155,0
116,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.2937740002,0.0769201462,0.131388342,0.0365927373,0.1374418841,0.3238828901,0
117,P,DISAGREEMENT,OBJECTIVE,86,NONIRONIC,0.1170220679,0.1395583684,0.1797783547,0.0665565045,0.3925771283,0.1045075763,0
118,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.1234573366,0.1411277636,0.132981976,0.227295126,0.1815893821,0.1935484157,0
119,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0903610937,0.2167029298,0.1439960626,0.1001413637,0.2426275657,0.2061709844,0
120,N+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0345511993,0.179020424,0.2233828405,0.2038654054,0.3089614533,0.0502186775,0
121,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1135094274,0.1495936155,0.0890668535,0.2107965153,0.2237596973,0.213273891,0
122,P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.2282876288,0.1822575636,0.102680902,0.0900794512,0.1466964416,0.2499980128,0
123,P+,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.1645115972,0.2068640565,0.1048917978,0.0662586988,0.2025678298,0.2549060198,0
